,Attr1,Attr2,Attr3,Attr4,Attr5,Attr9,Attr13,Attr15,Attr19,Attr20,Attr21,Attr27,Attr28,Attr29,Attr30,Attr32,Attr37,Attr39,Attr41,Attr42,Attr43,Attr47,Attr52,Attr55,Attr57,Attr59
0,0.088238,0.55472,0.01134,1.0205,-66.52,1.0881,0.096885,1475.2,0.077287,50.199,1.1574,1.0387,0.026093,6.1267,0.37788,155.33,571.37,0.095457,0.11189,0.095457,127.3,54.621,0.42557,15182.0,0.27543,0.002024
1,-0.006202,0.48465,0.23298,1.5998,6.1825,1.2757,0.037544,3693.4,-0.004862,59.923,1.0158,0.17118,0.61545,4.0022,0.36381,108.05,5.2519,-0.028591,0.29167,0.001011,171.38,58.258,0.29604,2341.8,-0.012035,0.15222
2,0.13024,0.22142,0.57751,3.6082,120.04,1.1415,0.16568,431.75,0.14349,41.508,1.2362,1.4737,2.8721,4.7622,0.050069,81.653,90.31675001210353,0.1291,0.042587,0.1291,163.71,47.382,0.22371,33401.0,0.19229,0.0
3,-0.089951,0.887,0.26927,1.5222,-55.992,1.2754,0.084038,3020.5,-0.070525,47.698,1.0942,0.0,1.2519,4.0153,0.65779,253.91,1.9005,0.010998,0.14998,0.0,157.3,82.073,0.69565,2789.6,-0.79602,2.8787
4,0.048179,0.55041,0.10765,1.2437,-22.959,1.515,0.055575,2386.1,0.039129,36.074,0.99455,2.0671,0.23891,5.8823,0.36331,140.12,6.3783,0.2404,0.19828,0.044632,125.21,46.538,0.37618,1.2437,0.10716,0.13938
5,0.23156,0.51047,0.47291,1.9393,15.102,1.7915,0.16689,623.17,0.16059,79.225,1.2748,7.1814,20.047,4.1709,0.1731,125.72,84.275,0.18403,0.04988,0.18411,153.38,97.092,0.34443,7008.8,0.47303,0.014242
6,0.099486,0.59991,0.37489,1.6529,19.036,1.0972,0.082929,1638.2,0.076897,66.783,1.2422,0.91571,7.3601,4.2136,0.37159,142.66,25.411,0.08346,0.13673,0.08346,214.06,73.273,0.39084,6131.0,0.24866,0.064344
7,0.078518,0.20546,0.10393,2.7939,77.784,1.2322,0.25844,735.12,0.23659,32.076,0.99207,2.3545,0.12401,5.0933,0.51863,66.013,0.86215,0.19109,0.080363,0.19109,147.25,39.524,0.18086,12885.0,0.098822,0.18566
8,0.12504,0.3544,0.31419,2.7127,17.942,1.2362,0.16079,718.98,0.14159,76.461,1.2607,2.0699,0.62544,4.9928,0.2874,73.977,1.5399,0.16744,0.055792,0.16744,139.96,94.523,0.20268,30900.0,0.19368,0.26479
9,0.29343,0.58649,0.083392,1.1694,-55.152,1.6376,0.22868,571.63,0.17919,37.194,1.4744,0.0,0.19648,4.3536,0.33125,168.46,47.009,0.015611,0.2412,0.0,103.43,57.118,0.46154,1882.3,0.70961,0.021024
10,0.18514,0.33996,0.38272,2.1258,54.426,1.1461,0.13772,458.24,0.11769,23.396,1.141,1.4567,1.3801,4.3567,0.16494,72.325,116.0213655826508,0.12711,0.038633,0.12711,130.64,26.814,0.19815,8701.1,0.29561,0.0
11,0.090516,0.31429,0.42465,3.2071,24.874,1.0488,0.069037,761.48,0.048246,47.339,1.2102,0.53447,1.1089,4.4784,0.059976,33.754,2.7404,0.050957,0.065997,0.050957,72.361,49.651,0.092477,12778.0,0.13396,0.1804
12,0.15329,0.51563,0.31028,1.6017,19.211,4.2828,0.050577,868.87,0.045222,5.1914,3.6963,35.465,1.7824,3.9243,0.019971,46.271,122.30406351161074,0.050271,0.077676,0.046312,30.876,5.4662,0.12677,2606.6,0.31647,0.0
13,0.011567,0.35237,0.073708,1.2583,-43.365,0.96593,0.045622,2918.6,0.017858,66.58,1.1882,1.9272,0.115,3.7826,0.35651,112.23,2.8837,0.039168,0.19105,0.035884,130.36,69.295,0.30748,446.76,0.01786,0.097927
14,0.37336,0.20718,0.63383,4.0593,92.284,2.4725,0.15609,195.95,0.151,13.578,1.5374,28.207,3.9866,2.6829,0.06775,35.967,124.8042161155001,0.14964,0.017576,0.15384,117.4,15.967,0.098539,305.38,0.47093,0.0
15,0.08312,0.29372,0.69657,3.5318,33.249,2.133,0.05411,928.86,0.049082,85.109,1.1513,3.7205,24.614,3.3837,0.087178,49.755,123.2485254178174,0.053772,0.065961,0.06456,145.48,89.946,0.13632,1685.4,0.11769,0.0
16,-0.095972,0.93694,-0.053287,0.94312,-60.889,1.7905,-0.035895,-5321.1,-0.053601,50.046,1.0768,0.019047,-0.45755,3.6829,0.51141,189.78,126.24045618840488,-0.006285,0.93047,0.001041,175.66,49.733,0.51996,-256.76,-1.522,0.0
17,0.13033,0.77424,0.2107,1.2721,7.3584,2.7657,0.060991,1675.3,0.059613,20.731,1.5393,5.1921,13.99,3.4366,0.25952,111.02,124.28491833146826,0.079606,0.12435,0.073666,122.31,22.524,0.30416,575.75,0.57728,0.0
18,0.081442,0.70127,0.38696,1.6555,38.305,1.9797,0.05227,2473.6,0.051977,34.883,1.357,8.7967,17.063,5.2778,0.1251,116.16,48.40905890865968,0.06296,0.21914,0.053588,96.478,37.226,0.31824,73355.0,0.27262,0.0
19,-0.002132,0.25065,0.35125,2.4799,31.862,1.0637,0.042382,1674.2,0.004572,69.139,1.1063,0.22751,0.85381,4.6293,0.13751,71.472,25.891,0.021388,0.10796,0.021388,144.71,73.545,0.19581,14961.0,-0.003639,0.022707
20,0.057271,0.53364,0.399,1.8664,-6.9193,1.2932,0.093397,1612.7,0.080035,109.21,1.1208,7.6428,2.84,4.4204,0.38537,147.05,113.95421370751905,0.11612,0.13229,0.090613,223.12,123.56,0.40289,10505.0,0.12281,0.0
21,0.13606,0.29588,0.47674,2.6113,70.887,1.1551,0.15735,530.29,0.13026,74.07,1.3473,1.4951,2.0967,4.79,0.12278,96.385,94.46912931078312,0.12943,0.048018,0.12943,179.16,85.558,0.26407,29394.0,0.19649,0.0
22,0.072197,0.79244,0.28691,1.4024,35.065,2.2096,0.042434,3084.8,0.042434,13.667,1.2931,3.4951,32.03082956125795,2.6438,0.32434,126.94,36.271,0.072076,0.20112,0.059439,151.93,14.729,0.34779,126.34,0.34783,0.12184
23,-0.21368,0.79568,0.026812,1.0472,-72.439,0.88019,-0.15562,-1817.1,-0.20806,88.749,0.99603,-1.1924,0.066248,4.9917,0.73055,177.83,1.5209,-0.13547,-0.30676,-0.13547,195.06,78.116,0.4872,2630.1,-1.3107,1.3937
24,0.1225,0.90363,0.22935,1.9469,-5.294,1.0929,0.089172,1963.8,0.065042,24.866,1.0755,0.96655,0.43399,4.0224,0.45837,51.297,0.51892,0.088441,0.14012,0.088441,59.207,27.176,0.14054,2415.0,5.5465,29.947
25,0.068391,0.31464,0.45409,2.9334,62.134,1.2157,0.099978,944.89,0.06738,71.254,1.1934,26.427,1.4599,3.9677,0.14464,66.583,120.6121002929021,-0.059109,0.093859,0.059319,164.76,67.277,0.18242,4215.7,0.099789,0.0
26,0.16169,0.59243,0.40265,1.6804,-39.452,2.3401,0.087834,1052.0,0.086543,2.7816,1.3103,7.5817,72.299,3.3133,0.25316,102.29,124.12377429518754,0.097681,0.085922,0.096923,59.042,3.0827,0.28026,828.48,0.39672,0.0
27,0.1262,0.10931,0.85953,24.884,818.92,0.51703,0.24409,316.14,0.24409,0.0,0.93901,463.6821760675079,8.2266,3.7434,0.034427,34.784,118.86095605849684,0.07005,2.371185925213096,0.0,567.25,0.0,0.095297,4760.3,0.14169,0.0
28,0.12501,0.40855,0.37183,2.0138,-7.9209,1.0942,0.090918,792.12,0.075764,71.736,1.3179,0.88677,1.4224,4.2097,0.15682,70.742,7.9383,0.081046,0.067431,0.081046,114.39,78.491,0.19381,6026.8,0.21806,0.072877
29,0.09366,0.54043,0.16351,1.304,-20.977,1.0647,0.059909,1432.7,0.050456,45.632,1.1545,0.70978,0.54749,4.366,0.21648,90.944,159.71,0.066666,0.10157,0.066666,104.46,48.583,0.24916,3797.6,0.20756,0.005745
30,0.13796,0.73386,0.25077,1.3431,-2.3289,1.7168,0.082896,1882.2,0.080361,54.011,1.0895,5.1347,13.717,4.2193,0.18743,171.95,1211.8,0.096194,0.14618,0.094941,119.68,59.76,0.47108,4155.4,0.51838,0.002256
31,0.086244,0.53789,0.15571,1.2917,-5.6906,1.0849,0.08838,1600.1,0.074044,15.602,1.3455,0.73406,0.50167,5.1456,0.38221,152.28,157.71,0.067661,0.15534,0.067661,148.82,16.927,0.41721,21772.0,0.19205,0.008899
32,-0.016281,0.90658,0.089048,1.1054,-42.256,2.091,0.00545,29036.0,-0.003485,48.097,0.8706,0.74813,1.349,4.1745,0.32891,149.68,87.776,0.014625,0.71783,0.011198,115.56,48.811,0.41009,1330.7,-0.17428,0.080301
33,0.11403,0.47273,0.41479,1.8774,21.264,2.3894,0.068268,1057.8,0.053586,43.32,1.0902,8.1913,3.688,3.9925,0.194,76.868,120.73875321173772,0.060555,0.08762,0.060584,134.07,46.112,0.2106,4076.9,0.21626,0.0
34,0.25316,0.35772,0.56142,2.6008,-0.80959,3.257,0.082021,488.75,0.077728,59.724,1.1435,52.327,6.3887,3.4549,0.060952,43.18,123.40705933387363,0.089817,0.044562,0.077862,80.442,65.618,0.1183,1600.2,0.39416,0.0
35,0.53688,0.13723,0.6211,5.8794,298.7,1.1594,0.48637,88.829,0.46308,35.447,1.0556,297.5,2.4685,3.8766,0.003126,73.763,120.27173462241107,0.45671,0.008132,0.4619,190.94,65.246,0.20209,4674.7,0.62228,0.0
36,0.16382,0.20033,0.55697,3.7839,75.218,1.199,0.19208,306.72,0.16464,79.204,1.4217,1.8327,2.2924,4.9649,0.085003,70.542,1849.1,0.15286,0.029432,0.15286,171.67,94.962,0.19327,51377.0,0.22805,0.000367
37,0.003728,0.17569,0.093283,1.531,-418.72,1.1199,0.043566,14436.0,0.018433,691.28,0.56742,1.2127,0.12761,3.7337,1.6946,704.33,122.2931113432897,0.10828,0.4246,0.10828,941.4,774.17,1.9297,505.25,0.004522,0.0
38,0.10394,0.67372,0.075089,1.1115,-49.195,1.0839,0.066109,1383.0,0.048528,54.062,1.1553,0.81812,0.29893,5.1572,0.23002,99.102,113.70350490619452,0.075479,0.088495,0.075479,92.878,58.597,0.27151,10785.0,0.43139,0.0
39,0.027445,0.2744,-0.11459,0.32834,-124.93,1.0923,0.21119,1079.8,0.078479,2.0357,0.91094,1.1394,-0.12139,5.1997,0.62285,154.88,0.51612,0.10431,0.086663,0.10431,43.971,2.2237,0.42432,-18148.0,0.058917,0.22281
40,0.023928,0.79174,0.14705,1.1857,2.9638,1.015,0.016994,5827.2,0.008199,15.417,1.0038,0.15346,2.4024,4.6851,0.24044,100.51,116.82308318712649,0.015119,0.373,0.015119,106.11,15.648,0.27537,7120.7,0.11896,0.0
41,-0.029019,0.89003,-0.098491,0.87961,-80.994,2.029,0.043107,3714.2,-3.9e-05,66.716,1.2464,0.99616,-0.35122,4.7112,0.41188,137.06,5.8242,-0.073726,0.18417,0.036247,119.48,62.135,0.3755,-5064.6,-0.26388,0.54443
42,0.096033,0.23955,0.72863,4.0417,106.82,1.0727,0.083296,672.35,0.076609,69.007,0.82078,0.84385,22.899,4.1277,-0.012927,60.074,114.86673282468077,0.078669,0.059099,0.078669,164.53,74.021,0.16458,9777.9,0.12667,0.0
43,-0.03551,0.9726,-0.31271,0.67585,-105.37,1.4592,-0.003057,-79587.0,-0.024334,25.69,1.4834,0.2976,-0.89865,4.1917,0.63517,242.65,142.6682191154336,0.005553,0.70013,0.010455,151.59,25.833,0.66481,-4862.0,-1.2959,0.0
44,0.023623,0.56683,0.29803,1.5258,14.673,1.0047,0.014431,4548.0,0.005908,18.41,1.1906,0.051565,2.2054,4.0439,0.16387,65.94,121.00501644201864,0.005132,0.43291,0.005132,92.903,18.496,0.18066,3297.4,0.12846,0.0
45,0.18042,0.50507,0.24365,1.5955,8.1954,1.176,0.14793,737.38,0.1328,44.94,1.3908,1.7939,0.70172,4.7782,0.29788,103.92,4.636,0.15253,0.058602,0.15253,139.89,52.852,0.2847,14619.0,0.37345,0.19855
46,0.11489,0.10127,0.50519,5.9887,158.92,1.266,0.12529,233.03,0.11228,2.255,1.2898,464.1867935803997,1.2837,3.3552,-0.23096,32.548,123.92939283092883,0.10294,0.022995,0.10294,60.401,2.5138,0.089172,1144.7,0.12784,0.0
47,0.016109,0.17132,0.53008,4.1076,229.85,1.0466,0.091245,951.7,0.028193,60.361,1.2387,0.10867,1.7708,5.0936,-0.31618,90.492,778.71,0.010383,0.10651,0.010383,152.54,63.177,0.24792,65760.0,0.019703,0.000913
48,0.043205,0.71638,-0.13355,0.81119,-67.366,1.5769,0.063546,2609.5,0.027227,13.869,1.1079,1.6112,-0.31334,6.2954,0.42378,167.77,399.1791773865687,0.024114,0.24599,0.025243,102.28,14.212,0.45965,-263680.0,0.15233,0.0
49,0.081029,0.46635,0.24616,1.5278,66.319,1.5485,0.070539,1558.3,0.052327,6.6535,0.70541,464.2049325935278,0.85625,3.2365,0.22692,150.56,124.45984944882218,4e-06,0.5512,0.0,137.35,9.1133,0.41249,424.34,0.15184,0.0
