,class
921,b'0'
5314,b'0'
3273,b'0'
1103,b'0'
3249,b'0'
1989,b'0'
2268,b'0'
2481,b'0'
2709,b'0'
1121,b'0'
5245,b'0'
2989,b'0'
4489,b'0'
4122,b'0'
5654,b'1'
2254,b'0'
2359,b'0'
2224,b'0'
437,b'0'
2810,b'0'
1154,b'0'
5173,b'0'
2445,b'0'
3816,b'0'
63,b'0'
2850,b'0'
2391,b'0'
4797,b'0'
5005,b'0'
5427,b'0'
140,b'0'
3931,b'0'
5493,b'0'
2858,b'0'
605,b'0'
4579,b'0'
1524,b'0'
920,b'0'
1584,b'0'
1794,b'0'
5786,b'1'
4839,b'0'
4104,b'0'
4999,b'0'
3403,b'0'
3235,b'0'
2294,b'0'
2917,b'0'
5289,b'0'
2732,b'0'
624,b'0'
508,b'0'
3818,b'0'
514,b'0'
2242,b'0'
2300,b'0'
779,b'0'
1740,b'0'
670,b'0'
3351,b'0'
3507,b'0'
1313,b'0'
1383,b'0'
3193,b'0'
594,b'0'
4088,b'0'
4449,b'0'
3667,b'0'
1348,b'0'
3908,b'0'
5859,b'1'
5383,b'0'
2197,b'0'
2324,b'0'
2114,b'0'
1012,b'0'
3110,b'0'
5779,b'1'
1636,b'0'
5046,b'0'
955,b'0'
3535,b'0'
2258,b'0'
798,b'0'
5042,b'0'
3669,b'0'
4506,b'0'
4308,b'0'
776,b'0'
308,b'0'
5098,b'0'
3661,b'0'
2565,b'0'
1814,b'0'
1923,b'0'
1829,b'0'
3121,b'0'
3062,b'0'
5792,b'1'
4320,b'0'
3319,b'0'
3177,b'0'
3386,b'0'
223,b'0'
4393,b'0'
5741,b'1'
2188,b'0'
1446,b'0'
5514,b'1'
3770,b'0'
3155,b'0'
2614,b'0'
89,b'0'
919,b'0'
3737,b'0'
5136,b'0'
872,b'0'
4913,b'0'
218,b'0'
1041,b'0'
2485,b'0'
2658,b'0'
2992,b'0'
4209,b'0'
810,b'0'
5692,b'1'
4188,b'0'
5165,b'0'
1689,b'0'
5160,b'0'
1962,b'0'
3945,b'0'
4813,b'0'
893,b'0'
5844,b'1'
2566,b'0'
1634,b'0'
5798,b'1'
2958,b'0'
5072,b'0'
5705,b'1'
2731,b'0'
205,b'0'
766,b'0'
5492,b'0'
3283,b'0'
4733,b'0'
206,b'0'
2417,b'0'
4781,b'0'
2278,b'0'
4031,b'0'
913,b'0'
4662,b'0'
3457,b'0'
3298,b'0'
1559,b'0'
1247,b'0'
5901,b'1'
463,b'0'
1203,b'0'
1580,b'0'
4210,b'0'
5825,b'1'
2465,b'0'
3174,b'0'
5693,b'1'
4988,b'0'
4503,b'0'
570,b'0'
566,b'0'
3434,b'0'
1599,b'0'
3104,b'0'
1331,b'0'
189,b'0'
4361,b'0'
475,b'0'
2552,b'0'
2688,b'0'
23,b'0'
2069,b'0'
5179,b'0'
3291,b'0'
123,b'0'
4630,b'0'
64,b'0'
3405,b'0'
1251,b'0'
3777,b'0'
1693,b'0'
1183,b'0'
4452,b'0'
5409,b'0'
3891,b'0'
639,b'0'
568,b'0'
2293,b'0'
3029,b'0'
4901,b'0'
2336,b'0'
318,b'0'
1682,b'0'
1994,b'0'
4943,b'0'
1545,b'0'
1748,b'0'
3556,b'0'
4585,b'0'
1117,b'0'
168,b'0'
4519,b'0'
3180,b'0'
3965,b'0'
3387,b'0'
2669,b'0'
1033,b'0'
573,b'0'
787,b'0'
2902,b'0'
39,b'0'
2095,b'0'
292,b'0'
1809,b'0'
2248,b'0'
183,b'0'
3381,b'0'
4848,b'0'
5368,b'0'
4723,b'0'
1952,b'0'
2506,b'0'
5334,b'0'
2424,b'0'
5194,b'0'
2288,b'0'
4154,b'0'
2638,b'0'
3552,b'0'
3618,b'0'
4837,b'0'
4575,b'0'
3597,b'0'
3208,b'0'
2543,b'0'
3084,b'0'
5520,b'1'
1669,b'0'
1284,b'0'
2774,b'0'
4889,b'0'
1684,b'0'
5313,b'0'
5318,b'0'
4078,b'0'
4849,b'0'
1101,b'0'
1440,b'0'
1848,b'0'
5781,b'1'
2030,b'0'
4328,b'0'
1430,b'0'
2611,b'0'
5739,b'1'
600,b'0'
3725,b'0'
44,b'0'
2337,b'0'
1666,b'0'
1318,b'0'
2951,b'0'
3888,b'0'
5186,b'0'
1449,b'0'
2883,b'0'
617,b'0'
4491,b'0'
5362,b'0'
3344,b'0'
2227,b'0'
3936,b'0'
4629,b'0'
5516,b'1'
2219,b'0'
1958,b'0'
4345,b'0'
1949,b'0'
5549,b'1'
705,b'0'
1053,b'0'
1073,b'0'
1372,b'0'
4240,b'0'
4705,b'0'
1478,b'0'
3629,b'0'
1275,b'0'
5443,b'0'
5053,b'0'
2296,b'0'
4608,b'0'
884,b'0'
5827,b'1'
4553,b'0'
4787,b'0'
5277,b'0'
50,b'0'
5238,b'0'
4427,b'0'
1226,b'0'
5252,b'0'
2341,b'0'
5066,b'0'
5721,b'1'
4354,b'0'
2893,b'0'
889,b'0'
4274,b'0'
2853,b'0'
3462,b'0'
5210,b'0'
2199,b'0'
4236,b'0'
4894,b'0'
3833,b'0'
2138,b'0'
5483,b'0'
3053,b'0'
3433,b'0'
814,b'0'
3030,b'0'
4067,b'0'
5242,b'0'
1040,b'0'
5814,b'1'
3570,b'0'
5004,b'0'
4899,b'0'
1055,b'0'
4113,b'0'
3229,b'0'
3399,b'0'
5330,b'0'
2061,b'0'
916,b'0'
3045,b'0'
5529,b'1'
4453,b'0'
1036,b'0'
81,b'0'
5263,b'0'
4840,b'0'
281,b'0'
5519,b'1'
4880,b'0'
2112,b'0'
4854,b'0'
95,b'0'
2447,b'0'
4233,b'0'
3431,b'0'
5241,b'0'
2743,b'0'
3681,b'0'
2067,b'0'
3427,b'0'
5061,b'0'
4290,b'0'
2939,b'0'
4791,b'0'
4466,b'0'
2603,b'0'
1342,b'0'
2020,b'0'
1273,b'0'
1552,b'0'
1721,b'0'
2321,b'0'
1145,b'0'
3690,b'0'
4215,b'0'
66,b'0'
5633,b'1'
3038,b'0'
1861,b'0'
3043,b'0'
3087,b'0'
744,b'0'
3935,b'0'
3324,b'0'
2530,b'0'
230,b'0'
